Ask,BaseVolume,Bid,Created,High,Last,Low,MarketName,OpenBuyOrders,OpenSellOrders,PrevDay,TimeStamp,TimeStampCall,Volume
0.072,6188.96453723,0.07199999,2015-08-14T09:02:24.817,0.07595384,0.07188,0.06964501,BTC-ETH,4118,12069,0.07,2017-09-18T21:19:06.417,2017-09-19 02:49:09.032215,84547.2077057
0.072,6188.81659989,0.07199999,2015-08-14T09:02:24.817,0.07595384,0.072,0.06964501,BTC-ETH,4155,12062,0.070275,2017-09-18T21:19:10.387,2017-09-19 02:49:14.459598,84545.0933611
0.07201493,6188.82506742,0.072,2015-08-14T09:02:24.817,0.07595384,0.07201493,0.06964501,BTC-ETH,4154,12064,0.07,2017-09-18T21:19:15.34,2017-09-19 02:49:19.884706,84545.2084843
0.07201493,6188.86649909,0.072,2015-08-14T09:02:24.817,0.07595384,0.07201493,0.06964501,BTC-ETH,4157,12068,0.07,2017-09-18T21:19:23.857,2017-09-19 02:49:25.828705,84545.7838054
0.07201493,6188.8335971,0.072,2015-08-14T09:02:24.817,0.07595384,0.07201492,0.06964501,BTC-ETH,4157,12068,0.070275,2017-09-18T21:19:30.98,2017-09-19 02:49:32.511116,84545.3121783
0.07201493,6188.90955315,0.072,2015-08-14T09:02:24.817,0.07595384,0.07201492,0.06964501,BTC-ETH,4157,12066,0.070275,2017-09-18T21:19:32.387,2017-09-19 02:49:38.007008,84546.3669049
0.07201493,6188.9880581,0.072,2015-08-14T09:02:24.817,0.07595384,0.07201493,0.06964501,BTC-ETH,4155,12069,0.07,2017-09-18T21:19:39.153,2017-09-19 02:49:43.432792,84547.3451082
0.072,6189.00525809,0.07188,2015-08-14T09:02:24.817,0.07595384,0.072,0.06964501,BTC-ETH,4154,12074,0.07,2017-09-18T21:19:47.403,2017-09-19 02:49:49.990656,84547.5839971
0.07201493,6189.22809679,0.0718726,2015-08-14T09:02:24.817,0.07595384,0.0718726,0.06964501,BTC-ETH,4153,12072,0.07,2017-09-18T21:19:53.933,2017-09-19 02:49:55.998661,84550.6837203
0.07201493,6189.22809679,0.0718726,2015-08-14T09:02:24.817,0.07595384,0.0718726,0.06964501,BTC-ETH,4153,12072,0.07,2017-09-18T21:19:53.933,2017-09-19 02:50:01.454517,84550.6837203
0.07201492,6189.27130574,0.071881,2015-08-14T09:02:24.817,0.07595384,0.07201493,0.06964501,BTC-ETH,4154,12073,0.07,2017-09-18T21:20:03.76,2017-09-19 02:50:06.881817,84551.2837203
0.07201492,6189.54188541,0.072,2015-08-14T09:02:24.817,0.07595384,0.072,0.06964501,BTC-ETH,4155,12075,0.0701575,2017-09-18T21:20:11.777,2017-09-19 02:50:12.309064,84555.0302534
